SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,PRIMGEO_FLAG,FUNCSTAT,NAME,STNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018
162,06,000,33308,00000,00000,0,A,Hercules city,California,24060,24089,24148,24346,24575,24812,25049,25272,25413,25489,25601
162,06,000,33364,00000,00000,0,A,Hermosa Beach city,California,19506,19506,19505,19571,19647,19686,19676,19710,19750,19619,19465
162,06,000,33434,00000,00000,0,A,Hesperia city,California,90173,90117,90300,91198,91620,91850,92169,92765,93383,94610,95274
162,06,000,33518,00000,00000,0,A,Hidden Hills city,California,1856,1856,1856,1869,1879,1893,1897,1910,1919,1913,1898
162,06,000,33588,00000,00000,0,A,Highland city,California,53104,53100,53214,53668,53948,54169,54353,54585,54786,55232,55406
162,06,000,33798,00000,00000,0,A,Hillsborough town,California,10825,10825,10846,10988,11119,11252,11371,11457,11477,11448,11444
162,06,000,34120,00000,00000,0,A,Hollister city,California,34928,34757,34925,35258,35690,36151,36641,36925,37533,38350,39749
162,06,000,34246,00000,00000,0,A,Holtville city,California,5939,5947,5962,6003,6011,6027,6263,6371,6424,6562,6678
162,06,000,34904,00000,00000,0,A,Hughson city,California,6640,6640,6655,6705,6839,6982,7172,7314,7388,7462,7551
162,06,000,36000,00000,00000,0,A,Huntington Beach city,California,189992,191037,191303,193010,194237,197212,199757,200855,200541,201191,200641
162,06,000,36056,00000,00000,0,A,Huntington Park city,California,58114,58112,58115,58331,58537,58768,58952,58997,58780,58555,58173
162,06,000,36084,00000,00000,0,A,Huron city,California,6754,6745,6752,6746,6752,6769,6780,6805,6928,7292,7288
162,06,000,36280,00000,00000,0,A,Imperial city,California,14758,14733,14837,15192,15566,16123,16701,16962,17092,17419,17695
162,06,000,36294,00000,00000,0,A,Imperial Beach city,California,26324,26324,26384,26617,26826,27041,27070,27286,27365,27314,27447
