,Metro Area,NAICS,Industry,Filter,Total
49731,"New York-Newark-Edison, NY-NJ-PA Metropolitan Statistical Area",31-33,Manufacturing,"Annual Payroll ($1,000)","21,240,708"
49745,"New York-Newark-Edison, NY-NJ-PA Metropolitan Statistical Area",51,Information,Establishments,"11,509"
49746,"New York-Newark-Edison, NY-NJ-PA Metropolitan Statistical Area",51,Information,Employment,"318,634"
49747,"New York-Newark-Edison, NY-NJ-PA Metropolitan Statistical Area",51,Information,"Annual Payroll ($1,000)","26,131,586"
49749,"New York-Newark-Edison, NY-NJ-PA Metropolitan Statistical Area",52,Finance and Insurance,Establishments,"30,092"
49750,"New York-Newark-Edison, NY-NJ-PA Metropolitan Statistical Area",52,Finance and Insurance,Employment,"630,286"
49751,"New York-Newark-Edison, NY-NJ-PA Metropolitan Statistical Area",52,Finance and Insurance,"Annual Payroll ($1,000)","102,105,472"
49757,"New York-Newark-Edison, NY-NJ-PA Metropolitan Statistical Area",54,"Professional, Scientific, and Technical Services",Establishments,"69,102"
49758,"New York-Newark-Edison, NY-NJ-PA Metropolitan Statistical Area",54,"Professional, Scientific, and Technical Services",Employment,"677,266"
49759,"New York-Newark-Edison, NY-NJ-PA Metropolitan Statistical Area",54,"Professional, Scientific, and Technical Services","Annual Payroll ($1,000)","52,723,971"
61849,"San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area",21,Mining,Establishments,47
61850,"San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area",21,Mining,Employment,[g]
61851,"San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area",21,Mining,"Annual Payroll ($1,000)",(D)
61861,"San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area",31-33,Manufacturing,Establishments,"4,493"
61862,"San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area",31-33,Manufacturing,Employment,[m]
61863,"San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area",31-33,Manufacturing,"Annual Payroll ($1,000)",(D)
61877,"San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area",51,Information,Establishments,"3,028"
61878,"San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area",51,Information,Employment,"89,695"
61879,"San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area",51,Information,"Annual Payroll ($1,000)","8,630,454"
61881,"San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area",52,Finance and Insurance,Establishments,"8,329"
61882,"San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area",52,Finance and Insurance,Employment,"130,993"
61883,"San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area",52,Finance and Insurance,"Annual Payroll ($1,000)","15,651,004"
61889,"San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area",54,"Professional, Scientific, and Technical Services",Establishments,"19,159"
61890,"San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area",54,"Professional, Scientific, and Technical Services",Employment,"258,815"
61891,"San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area",54,"Professional, Scientific, and Technical Services","Annual Payroll ($1,000)","20,298,088"
